mask_id,date,event_description_norm,team_away,team_home,game_key,wager_amount
100245,2024-10-22,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,Boston Celtics @ Washington Wizards,0
101293,2024-10-22,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,Boston Celtics @ Washington Wizards,0
100245,2024-10-22,Brooklyn Nets @ Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,Brooklyn Nets @ Atlanta Hawks,0
101293,2024-10-22,Brooklyn Nets @ Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,Brooklyn Nets @ Atlanta Hawks,0.008333
100245,2024-10-22,Charlotte Hornets @ Houston Rockets,Charlotte Hornets,Houston Rockets,Charlotte Hornets @ Houston Rockets,0
101293,2024-10-22,Charlotte Hornets @ Houston Rockets,Charlotte Hornets,Houston Rockets,Charlotte Hornets @ Houston Rockets,0
100245,2024-10-22,Chicago Bulls @ New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,Chicago Bulls @ New Orleans Pelicans,0
101293,2024-10-22,Chicago Bulls @ New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,Chicago Bulls @ New Orleans Pelicans,0
100245,2024-10-22,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers @ Toronto Raptors,0
101293,2024-10-22,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers @ Toronto Raptors,0.008333
100245,2024-10-22,Golden State Warriors @ Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Golden State Warriors @ Portland Trail Blazers,0
101293,2024-10-22,Golden State Warriors @ Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Golden State Warriors @ Portland Trail Blazers,0
100245,2024-10-22,Indiana Pacers @ Detroit Pistons,Indiana Pacers,Detroit Pistons,Indiana Pacers @ Detroit Pistons,0
101293,2024-10-22,Indiana Pacers @ Detroit Pistons,Indiana Pacers,Detroit Pistons,Indiana Pacers @ Detroit Pistons,0.024999
100245,2024-10-22,Memphis Grizzlies @ Utah Jazz,Memphis Grizzlies,Utah Jazz,Memphis Grizzlies @ Utah Jazz,0
101293,2024-10-22,Memphis Grizzlies @ Utah Jazz,Memphis Grizzlies,Utah Jazz,Memphis Grizzlies @ Utah Jazz,0
100245,2024-10-22,Milwaukee Bucks @ Philadelphia 76Ers,Milwaukee Bucks,Philadelphia 76Ers,Milwaukee Bucks @ Philadelphia 76Ers,0
101293,2024-10-22,Milwaukee Bucks @ Philadelphia 76Ers,Milwaukee Bucks,Philadelphia 76Ers,Milwaukee Bucks @ Philadelphia 76Ers,0
100245,2024-10-22,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,10
101293,2024-10-22,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0.016666
100245,2024-10-22,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves @ Sacramento Kings,0
101293,2024-10-22,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves @ Sacramento Kings,0
100245,2024-10-22,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,New York Knicks @ Boston Celtics,10
101293,2024-10-22,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,New York Knicks @ Boston Celtics,0.016666
100245,2024-10-22,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder @ Denver Nuggets,0
101293,2024-10-22,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder @ Denver Nuggets,0
100245,2024-10-22,Orlando Magic @ Miami Heat,Orlando Magic,Miami Heat,Orlando Magic @ Miami Heat,0
101293,2024-10-22,Orlando Magic @ Miami Heat,Orlando Magic,Miami Heat,Orlando Magic @ Miami Heat,0
100245,2024-10-22,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Phoenix Suns @ Los Angeles Clippers,0
101293,2024-10-22,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Phoenix Suns @ Los Angeles Clippers,0
100245,2024-10-22,San Antonio Spurs @ Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs @ Dallas Mavericks,0
101293,2024-10-22,San Antonio Spurs @ Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs @ Dallas Mavericks,0
100245,2024-10-23,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,Boston Celtics @ Washington Wizards,0
101293,2024-10-23,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,Boston Celtics @ Washington Wizards,0.008333
100245,2024-10-23,Brooklyn Nets @ Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,Brooklyn Nets @ Atlanta Hawks,0
101293,2024-10-23,Brooklyn Nets @ Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,Brooklyn Nets @ Atlanta Hawks,0.008333
100245,2024-10-23,Charlotte Hornets @ Houston Rockets,Charlotte Hornets,Houston Rockets,Charlotte Hornets @ Houston Rockets,0
101293,2024-10-23,Charlotte Hornets @ Houston Rockets,Charlotte Hornets,Houston Rockets,Charlotte Hornets @ Houston Rockets,0
100245,2024-10-23,Chicago Bulls @ New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,Chicago Bulls @ New Orleans Pelicans,0
101293,2024-10-23,Chicago Bulls @ New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,Chicago Bulls @ New Orleans Pelicans,0
100245,2024-10-23,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers @ Toronto Raptors,0
101293,2024-10-23,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers @ Toronto Raptors,0.008333
100245,2024-10-23,Golden State Warriors @ Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Golden State Warriors @ Portland Trail Blazers,10
101293,2024-10-23,Golden State Warriors @ Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Golden State Warriors @ Portland Trail Blazers,0
100245,2024-10-23,Indiana Pacers @ Detroit Pistons,Indiana Pacers,Detroit Pistons,Indiana Pacers @ Detroit Pistons,0
101293,2024-10-23,Indiana Pacers @ Detroit Pistons,Indiana Pacers,Detroit Pistons,Indiana Pacers @ Detroit Pistons,0.008333
100245,2024-10-23,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,Indiana Pacers @ New York Knicks,0
101293,2024-10-23,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,Indiana Pacers @ New York Knicks,0
100245,2024-10-23,Memphis Grizzlies @ Utah Jazz,Memphis Grizzlies,Utah Jazz,Memphis Grizzlies @ Utah Jazz,0
101293,2024-10-23,Memphis Grizzlies @ Utah Jazz,Memphis Grizzlies,Utah Jazz,Memphis Grizzlies @ Utah Jazz,0
100245,2024-10-23,Milwaukee Bucks @ Philadelphia 76Ers,Milwaukee Bucks,Philadelphia 76Ers,Milwaukee Bucks @ Philadelphia 76Ers,0
101293,2024-10-23,Milwaukee Bucks @ Philadelphia 76Ers,Milwaukee Bucks,Philadelphia 76Ers,Milwaukee Bucks @ Philadelphia 76Ers,0
100245,2024-10-23,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0
101293,2024-10-23,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0
100245,2024-10-23,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves @ Sacramento Kings,0
101293,2024-10-23,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves @ Sacramento Kings,0
100245,2024-10-23,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder @ Denver Nuggets,0
101293,2024-10-23,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder @ Denver Nuggets,0
100245,2024-10-23,Orlando Magic @ Miami Heat,Orlando Magic,Miami Heat,Orlando Magic @ Miami Heat,0
101293,2024-10-23,Orlando Magic @ Miami Heat,Orlando Magic,Miami Heat,Orlando Magic @ Miami Heat,0
100245,2024-10-23,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Phoenix Suns @ Los Angeles Clippers,19.5
101293,2024-10-23,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Phoenix Suns @ Los Angeles Clippers,0
100245,2024-10-23,San Antonio Spurs @ Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs @ Dallas Mavericks,0
101293,2024-10-23,San Antonio Spurs @ Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs @ Dallas Mavericks,0
100245,2024-10-24,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,Boston Celtics @ Washington Wizards,8.375
101293,2024-10-24,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,Boston Celtics @ Washington Wizards,0.008333
100245,2024-10-24,Brooklyn Nets @ Orlando Magic,Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,0
101293,2024-10-24,Brooklyn Nets @ Orlando Magic,Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,0
100245,2024-10-24,Charlotte Hornets @ Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Charlotte Hornets @ Atlanta Hawks,0
101293,2024-10-24,Charlotte Hornets @ Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Charlotte Hornets @ Atlanta Hawks,0
100245,2024-10-24,Chicago Bulls @ Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Chicago Bulls @ Milwaukee Bucks,0
101293,2024-10-24,Chicago Bulls @ Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Chicago Bulls @ Milwaukee Bucks,0
100245,2024-10-24,Detroit Pistons @ Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons @ Cleveland Cavaliers,0
101293,2024-10-24,Detroit Pistons @ Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons @ Cleveland Cavaliers,0
100245,2024-10-24,Golden State Warriors @ Utah Jazz,Golden State Warriors,Utah Jazz,Golden State Warriors @ Utah Jazz,0
101293,2024-10-24,Golden State Warriors @ Utah Jazz,Golden State Warriors,Utah Jazz,Golden State Warriors @ Utah Jazz,0
100245,2024-10-24,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,Indiana Pacers @ New York Knicks,0
101293,2024-10-24,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,Indiana Pacers @ New York Knicks,0.008333
100245,2024-10-24,Memphis Grizzlies @ Houston Rockets,Memphis Grizzlies,Houston Rockets,Memphis Grizzlies @ Houston Rockets,0
101293,2024-10-24,Memphis Grizzlies @ Houston Rockets,Memphis Grizzlies,Houston Rockets,Memphis Grizzlies @ Houston Rockets,0
100245,2024-10-24,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves @ Sacramento Kings,13.375
101293,2024-10-24,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves @ Sacramento Kings,0.008333
100245,2024-10-24,New Orleans Pelicans @ Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers,New Orleans Pelicans @ Portland Trail Blazers,0
101293,2024-10-24,New Orleans Pelicans @ Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers,New Orleans Pelicans @ Portland Trail Blazers,0
